page,posts,Page Name,inter,interParPost,postsParJour
Le Journal de Québec,37786,Le Journal de Québec,8348108,"220,931244376224","42,8898978433598"
Le Journal de Montréal,36761,Le Journal de Montréal,16742400,"455,439188270178","41,7264472190692"
La Voix de l'Est,35113,La Voix de l'Est,1147060,"32,6676729416455","39,855845629966"
Le Nouvelliste,33854,Le Nouvelliste,2481513,"73,300437171383","38,4267877412032"
La Presse,30818,La Presse,7622784,"247,348432734116","34,9807037457435"
TVA Nouvelles,29064,TVA Nouvelles,26995850,"928,841522157996","32,9897843359818"
Le Soleil,27886,Le Soleil,3816824,"136,872409094169","31,6526674233825"
Le Droit,25079,Le Droit,911370,"36,3399657083616","28,466515323496"
RDS,23167,RDS,16369283,"706,577588811672","26,2962542565267"
Le Devoir,21635,Le Devoir,7381130,"341,166165934828","24,5573212258797"
Le Quotidien,20891,Le Quotidien,1362091,"65,1998946914939","23,7128263337117"
La Tribune,20646,La Tribune,1254818,"60,7777777777778","23,4347332576617"
Radio-Canada Information,20557,Radio-Canada Information,10363908,"504,154691832466","23,3337116912599"
Narcity Québec,15832,Narcity Québec,7520944,"475,046993431026","17,9704880817253"
www.lanouvelle.net,14702,www.lanouvelle.net,596897,"40,5997143245817","16,6878547105562"
Journal Métro,13462,Journal Métro,1153067,"85,6534690239192","15,2803632236095"
Les Affaires,13414,Les Affaires,1130560,"84,2820933353213","15,2258796821793"
ICI Québec,11127,ICI Québec,2525658,"226,984631976274","12,6299659477866"
EnBeauce.com,10524,EnBeauce.com,512952,"48,7411630558723","11,9455164585698"
Journal Le Soir,10111,Journal Le Soir,305821,"30,2463653446741","11,4767309875142"
"FM 103,3 - La radio allumée",9321,"FM 103,3 - La radio allumée",243447,"26,1181203733505","10,5800227014756"
ICI Mauricie Centre-du-Québec,9292,ICI Mauricie Centre-du-Québec,887969,"95,5627421437796","10,5471055618615"
"104,7 Outaouais",9073,"104,7 Outaouais",1002313,"110,472059958118","10,2985244040863"
Néomédia Vaudreuil-Soulanges,8952,Néomédia Vaudreuil-Soulanges,236649,"26,4353217158177","10,161180476731"
"CJSO 101,7 FM",8950,"CJSO 101,7 FM",569696,"63,6531843575419","10,1589103291714"
Noovo Info,8403,Noovo Info,717545,"85,3915268356539","9,53802497162316"
Journal Le Reflet,8324,Journal Le Reflet,375320,"45,0888995675156","9,4483541430193"
Radio-Canada Sports,8312,Radio-Canada Sports,2500095,"300,781400384986","9,43473325766175"
TVA Sports,8296,TVA Sports,6216226,"749,30400192864","9,41657207718502"
"98,5 FM",7791,"98,5 FM",1127450,"144,711847002952","8,8433598183882"
ICI Ontario,7748,ICI Ontario,445322,"57,4757356737223","8,79455164585698"
ICI Saguenay–Lac-Saint-Jean,7718,ICI Saguenay–Lac-Saint-Jean,1623999,"210,417076962944","8,76049943246311"
ICI Saskatchewan,7672,ICI Saskatchewan,39283,"5,12030761209593","8,70828603859251"
CIMT Nouvelles,7640,CIMT Nouvelles,326793,"42,7739528795812","8,67196367763905"
ICI Manitoba,7524,ICI Manitoba,177422,"23,5808080808081","8,54029511918275"
TVA Gatineau-Ottawa,7271,TVA Gatineau-Ottawa,955076,"131,35414660982","8,25312145289444"
ICI Estrie,7099,ICI Estrie,1686238,"237,531765037329","8,05788876276958"
Téléjournal Acadie,7020,Téléjournal Acadie,991362,"141,219658119658","7,96821793416572"
Métro Québec,6768,Métro Québec,80713,"11,9256796690307","7,68217934165721"
Le Courrier du Sud,6466,Le Courrier du Sud,145013,"22,4270027837921","7,33938706015891"
ICI Abitibi-Témiscamingue,6413,ICI Abitibi-Témiscamingue,1125885,"175,562919070638","7,27922814982974"
ICI Colombie-Britannique,6400,ICI Colombie-Britannique,128855,"20,13359375","7,2644721906924"
Journal Saint-François,6383,Journal Saint-François,303337,"47,5226382578725","7,24517593643587"
Le Journal de Lévis,6143,Le Journal de Lévis,201553,"32,810190460687","6,9727582292849"
ICI Ottawa Gatineau,6092,ICI Ottawa Gatineau,390576,"64,112934996717","6,91486946651532"
Espaces autochtones,6000,Espaces autochtones,852883,"142,147166666667","6,81044267877412"
"FM Charlevoix - CIHO 96,3",5876,"FM Charlevoix - CIHO 96,3",310157,"52,7836963921035","6,66969353007946"
Courrier Laval,5860,Courrier Laval,221453,"37,790614334471","6,65153234960272"
Néomédia Valleyfield,5795,Néomédia Valleyfield,17668,"3,048835202761","6,57775255391601"
TVA Québec,5744,TVA Québec,705149,"122,762708913649","6,51986379114643"
Le Soleil de Châteauguay,5687,Le Soleil de Châteauguay,244267,"42,9518199402145","6,45516458569807"
Info Dimanche,5665,Info Dimanche,338304,"59,7182700794351","6,43019296254257"
QUB radio,5601,QUB radio,456826,"81,5615068737725","6,35754824063564"
ICI Alberta,5523,ICI Alberta,157099,"28,444504798117","6,26901248581158"
Journal Le Citoyen Val-d'Or - Amos,5406,Journal Le Citoyen Val-d'Or - Amos,168670,"31,2005179430263","6,13620885357548"
24 heures,5332,24 heures,452698,"84,9021005251313","6,0522133938706"
Le Citoyen Rouyn - La Sarre,5232,Le Citoyen Rouyn - La Sarre,175435,"33,5311544342508","5,93870601589103"
ICI Nord de l'Ontario,5140,ICI Nord de l'Ontario,96584,"18,7906614785992","5,83427922814983"
Journal L'Express de Drummondville,4928,Journal L'Express de Drummondville,663918,"134,72362012987","5,59364358683314"
Mon Victo,4733,Mon Victo,35055,"7,40650750052821","5,37230419977299"
Ma Côte-Nord,4633,Ma Côte-Nord,64328,"13,884739909346","5,25879682179342"
Journal La Revue,4557,Journal La Revue,120001,"26,3333333333333","5,17253121452894"
Radio CHGA,4439,Radio CHGA,176481,"39,7569272358639","5,03859250851305"
Mon Matane,4404,Mon Matane,123574,"28,0594913714805","4,99886492622021"
Journal Haute-Côte-Nord,4350,Journal Haute-Côte-Nord,64719,"14,8779310344828","4,93757094211124"
Journal L'Action,4326,Journal L'Action,106188,"24,5464632454924","4,91032917139614"
Radio-Canada Techno,4234,Radio-Canada Techno,542984,"128,243741143127","4,80590238365494"
TVA Abitibi-Témiscamingue,4148,TVA Abitibi-Témiscamingue,485000,"116,923818707811","4,70828603859251"
VINGT 55,4143,VINGT 55,359928,"86,8761766835626","4,70261066969353"
L'Hebdo Journal,4028,L'Hebdo Journal,243006,"60,3291956305859","4,57207718501703"
Les 2 Rives,3940,Les 2 Rives,259577,"65,8824873096447","4,47219069239501"
L'info du Nord Mont-Tremblant,3937,L'info du Nord Mont-Tremblant,107349,"27,2667005334011","4,46878547105562"
