page ,posts,Page Name,inter,interParPost,postsParJour
Votemeyo,60276,Votemeyo,19458,"0,322815050766474","68,4177071509648"
Spotted: Jeunes mamans,57877,Spotted: Jeunes mamans,1995292,"34,4746963387874","65,694665153235"
Drive Good,57042,Drive Good,124553,"2,18353143297921","64,7468785471056"
Hockey30.com,23134,Hockey30.com,618461,"26,7338549321345","26,2587968217934"
Spotted st-jérome,22847,Spotted st-jérome,836475,"36,6120278373528","25,9330306469921"
Truck Stop Quebec,20811,Truck Stop Quebec,1601763,"76,9671327663255","23,622020431328"
La Ligue des DEALS,20797,La Ligue des DEALS,1019494,"49,0212049814877","23,6061293984109"
Spotted Valleyfield,17940,Spotted Valleyfield,790018,"44,0366778149387","20,3632236095346"
Boucherie Tendre Gourmet inc,16942,Boucherie Tendre Gourmet inc,5775,"0,340868846653288","19,2304199772985"
Monsieur Deals,16810,Monsieur Deals,1250716,"74,4030933967876","19,0805902383655"
Spotted Terrebonne - Mascouche,15993,Spotted Terrebonne - Mascouche,469578,"29,3614706434065","18,1532349602724"
Les p'tits Deals,15477,Les p'tits Deals,794727,"51,3489048265168","17,5675368898978"
Ayoye,15151,Ayoye,2423461,"159,953864431391","17,1975028376845"
Grands Titres,14864,Grands Titres,1076306,"72,4102529601722","16,8717366628831"
QC Lifestyle,14858,QC Lifestyle,1055762,"71,0568044151299","16,8649262202043"
Veux-Tu Rire?,14857,Veux-Tu Rire?,1011735,"68,0982028673353","16,8637911464245"
Ayoye OMG QC,14792,Ayoye OMG QC,295009,"19,9438209843158","16,7900113507378"
Ayoye - QC,14784,Ayoye - QC,315189,"21,3196022727273","16,7809307604994"
Ayoye QC,14758,Ayoye QC,389680,"26,4046618783033","16,7514188422247"
TROP CUTE [Fan-O-web],14726,TROP CUTE [Fan-O-web],1334341,"90,6112318348499","16,7150964812713"
Fanoweb,14576,Fanoweb,207868,"14,2609769484083","16,5448354143019"
Desjardins,14369,Desjardins,530868,"36,9453685016355","16,3098751418842"
Spotted Shawinigan,14366,Spotted Shawinigan,605220,"42,1286370597244","16,3064699205448"
Barcelone FCB,14209,Barcelone FCB,22897169,"1611,45534520374","16,1282633371169"
Emplois transport,14173,Emplois transport,3704,"0,261341988287589","16,0874006810443"
Spotted: Blainville,14068,Spotted: Blainville,418589,"29,7546914984362","15,9682179341657"
Spotted: Levis,13836,Spotted: Levis,587948,"42,4940734316276","15,7048808172531"
La Parole Vivante,13455,La Parole Vivante,12312336,"915,0751393534","15,272417707151"
Recette de Maman,13434,Recette de Maman,3563751,"265,278472532381","15,2485811577753"
WorldTop le meilleur du web,13405,WorldTop le meilleur du web,662099,"49,391943304737","15,2156640181612"
Gagnez GROS,13340,Gagnez GROS,247621,"18,5622938530735","15,1418842224745"
Concours & Buzz Québec,13236,Concours & Buzz Québec,293192,"22,1511030522817","15,0238365493757"
"Actualités, trucs et astuces",13115,"Actualités, trucs et astuces",628353,"47,911017918414","14,8864926220204"
HABSolumentFan,13016,HABSolumentFan,3923176,"301,411800860479","14,7741203178207"
Parlonsbuzz,12917,Parlonsbuzz,153720,"11,9005961136487","14,6617480136209"
Intellivoire.net,12915,Intellivoire.net,306274,"23,7145954316686","14,6594778660613"
Circulaires,12678,Circulaires,1869907,"147,492270074144","14,3904653802497"
