Account,Followers max,Photos,Albums,Vidéos,Nombre de publications,Likes,Commentaires,Interactions,Interactions moyennes,Vues,Vues moyennes
"104,7 Outaouais",2656,14,1,,15,491,31,522,35,0,0
24 heures,14956,69,544,65,678,209744,5114,214858,317,404214,664
98.5 Montréal,10545,6,3,5,14,1732,115,1847,132,13737,1717
Beauce Media,1278,17,1,8,26,197,8,205,8,1823,203
Bible urbaine,2688,38,263,1,302,6491,393,6884,23,210,1
CBC Montreal,49873,176,244,76,496,239561,12817,252378,509,919888,2875
Châtelaine,19116,117,42,1,160,6375,179,6554,41,163,4
"CIBL 101,5",3758,185,4,,189,1558,96,1654,9,0,0
CIHO FM Charlevoix,Inconnu,80,1,,81,146,6,152,2,0,0
CIMT TVA,3666,22,2,65,89,483,21,504,6,11197,167
CityNews Montreal,19736,1231,247,1096,2574,113909,9708,123617,48,1299101,967
CJAD 800,7933,1615,49,89,1753,58411,8247,66658,38,94494,685
Courrier Laval,2029,188,7,85,280,2836,3421,6257,22,6387,69
CTV Montreal,23958,1153,33,66,1252,118874,13784,132658,106,253695,2563
EnBeauce.com,2775,12,36,,48,385,12,397,8,0,0
Espaces autochtones,9511,,36,50,86,9460,122,9582,111,18537,216
FM93,3824,44,14,2,60,4748,234,4982,83,1638,102
Gazette de la Mauricie,1085,53,142,1,196,2600,57,2657,14,200,1
Global Montreal,13874,171,21,,192,4363,1233,5596,29,0,0
ICI Abitibi-Témiscamingue,3754,5,18,2,25,723,19,742,30,521,26
ICI Estrie,9001,49,98,13,160,9433,237,9670,60,25721,232
ICI Mauricie Centre-du-Québec,6736,42,68,22,132,3499,164,3663,28,8904,99
ICI Ottawa-Gatineau,8780,47,112,18,177,6793,166,6959,39,16819,129
ICI Québec,51123,42,209,179,430,76539,2014,78553,183,352416,908
ICI Radio-Canada Côte-Nord,4582,34,61,171,266,4855,196,5051,19,45539,196
ICI Saguenay / Lac-Saint-Jean,7080,177,68,20,265,6964,126,7090,27,14874,169
Info Dimanche,2205,25,6,,31,487,10,497,16,0,0
INFOSuroit.com,1723,901,49,,950,1951,45,1996,2,0,0
Journal Accès et Journal Le Nord,2047,1,20,1,22,346,5,351,16,437,21
Journal Accès et Le Nord,1981,80,109,17,206,4355,141,4496,22,5360,43
Journal L’Express,2215,19,4,2,25,324,7,331,13,1188,198
Journal Le Canada Français,1052,6,36,3,45,1069,14,1083,24,346,9
Journal Métro,14659,23,192,7,222,16235,940,17175,77,13171,66
L'actualité,22438,18,2,,20,1669,42,1711,86,0,0
L'Hebdo Journal,Inconnu,68,4,,72,684,28,712,10,0,0
L’info du Nord,1796,82,61,5,148,870,19,889,6,576,9
La Presse,179474,85,510,20,615,312898,10353,323251,526,644119,1215
La Revue de Terrebonne,Inconnu,47,8,,55,285,9,294,5,0,0
La Terre de chez nous,Inconnu,12,12,6,30,186,1,187,6,863,48
La Tribune,4442,68,83,10,161,3313,166,3479,22,3078,33
La Voix de l'Est,2370,10,86,14,110,1299,51,1350,12,3283,33
La Voix du Sud,1068,25,13,7,45,428,8,436,10,1845,92
Le Devoir,135010,1207,1170,101,2478,1400016,38759,1438775,581,2134280,1679
Le Droit - Ottawa Gatineau,1042,19,82,11,112,1442,319,1761,16,5045,54
Le Journal de Montréal,93613,888,118,5,1011,469144,40205,509349,504,123548,1004
